Fecha,Nuevos casos 
10/03/2020,2
11/03/2020,1
12/03/2020,0
13/03/2020,7
14/03/2020,0
15/03/2020,1
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,3
20/03/2020,2
21/03/2020,2
22/03/2020,7
23/03/2020,1
24/03/2020,4
25/03/2020,7
26/03/2020,22
27/03/2020,13
28/03/2020,7
29/03/2020,15
30/03/2020,11
31/03/2020,8
1/04/2020,8
2/04/2020,9
3/04/2020,7
4/04/2020,18
5/04/2020,26
6/04/2020,11
7/04/2020,16
8/04/2020,54
9/04/2020,4
10/04/2020,7
11/04/2020,25
12/04/2020,30
13/04/2020,24
14/04/2020,43
15/04/2020,44
16/04/2020,24
17/04/2020,28
18/04/2020,27
19/04/2020,44
20/04/2020,34
21/04/2020,11
22/04/2020,63
23/04/2020,31
24/04/2020,104
25/04/2020,59
26/04/2020,84
27/04/2020,64
28/04/2020,39
29/04/2020,57
30/04/2020,57
1/05/2020,62
2/05/2020,241
3/05/2020,124
4/05/2020,87
5/05/2020,121
6/05/2020,84
7/05/2020,195
8/05/2020,185
9/05/2020,171
10/05/2020,119
11/05/2020,270
12/05/2020,133
13/05/2020,184
14/05/2020,224
15/05/2020,205
16/05/2020,249
17/05/2020,262
18/05/2020,175