Fecha,Recuperados
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,0
31/03/2020,0
01/04/2020,1
02/04/2020,1
03/04/2020,2
04/04/2020,2
05/04/2020,2
06/04/2020,2
07/04/2020,2
08/04/2020,2
09/04/2020,2
10/04/2020,2
11/04/2020,2
12/04/2020,2
13/04/2020,6
14/04/2020,7
15/04/2020,14
16/04/2020,26
17/04/2020,31
18/04/2020,31
19/04/2020,31
20/04/2020,37
21/04/2020,37
22/04/2020,44
23/04/2020,44
24/04/2020,54
25/04/2020,74
26/04/2020,80
27/04/2020,98
28/04/2020,110
29/04/2020,117
30/04/2020,120
01/05/2020,134
02/05/2020,159
03/05/2020,166
04/05/2020,174
05/05/2020,187
06/05/2020,198
07/05/2020,219
08/05/2020,237
09/05/2020,258
10/05/2020,273
11/05/2020,299
12/05/2020,313
13/05/2020,339
14/05/2020,356
15/05/2020,434
16/05/2020,473
17/05/2020,493
18/05/2020,503